Entry,Gene,Organism
P25359,RRP43,Yeast
Q05636,RRP45,Yeast
P53256,RRP46,Yeast
Q05022,RRP5,Yeast
Q12149,RRP6,Yeast
P25368,RRP7,Yeast
P38961,RRP8,Yeast
P40470,RRT14,Yeast
Q05942,RSA3,Yeast
Q12136,SAS10,Yeast
P10080,SBP1,Yeast
P53313,SDA1,Yeast
Q06132,SGD1,Yeast
P35187,SGS1,Yeast
P06700,SIR2,Yeast
P53251,SLX9,Yeast
P40167,SLZ1,Yeast
P33750,SOF1,Yeast
P25582,SPB1,Yeast
P25808,SPB4,Yeast
P32380,SPC110,Yeast
P38688,SRP72,Yeast
P38789,SSF1,Yeast
Q12153,SSF2,Yeast
P40342,SWM2,Yeast
Q12052,TGS1,Yeast
Q03525,TMA23,Yeast
Q03280,TOM1,Yeast
P48561,TRF5,Yeast
Q05024,TRI1,Yeast
Q07381,TSR1,Yeast
Q08747,UAF30,Yeast
P53874,UBP10,Yeast
P34241,URB1,Yeast
P47108,URB2,Yeast
P42945,UTP10,Yeast
P34247,UTP11,Yeast
Q04500,UTP14,Yeast
Q04305,UTP15,Yeast
P40362,UTP18,Yeast
Q06078,UTP21,Yeast
P53254,UTP22,Yeast
P40498,UTP25,Yeast
P36144,UTP30,Yeast
Q06679,UTP4,Yeast
Q04177,UTP5,Yeast
Q02354,UTP6,Yeast
P53276,UTP8,Yeast
P38882,UTP9,Yeast
P38838,WSS1,Yeast
P53336,,Yeast
P61801,aptx,Frog
Q28F19,exosc6,Frog
Q6GLC9,fmr1,Frog
Q5M8V6,gtpbp10,Frog
Q6NVR5,llph,Frog
Q6P7N1,mak16,Frog
Q68ER9,meaf6,Frog
Q5EB28,midn,Frog
Q6DJS0,n4bp1,Frog
Q6NVB0,nop16,Frog
Q6P4K8,pin4,Frog
Q6NVU2,ppp1cc,Frog
Q28H91,sap30l,Frog
F7BLM1,taf1b,Frog
Q6DJ13,znf830,Frog
