Entry,Gene,Organism
A1Z8D0,nclb,Fly
Q9VD51,pit,Fly
Q9VAQ5,,Fly
Q9N3T2,crn-1,Worm
Q17632,dis-3,Worm
O62106,eif-6,Worm
Q17533,exos-4.1,Worm
Q22053,fib-1,Worm
Q95Y89,lpd-7,Worm
O01757,nath-10,Worm
O44411,nog-1,Worm
Q21276,nol-56,Worm
O18216,pno-1,Worm
Q17606,rpl-24.2,Worm
Q23202,sbds-1,Worm
O17966,top-1,Worm
P91343,wdr-12,Worm
Q09522,,Worm
Q08965,BMS1,Yeast
P33322,CBF5,Yeast
P53859,CSL4,Yeast
Q12389,DBP10,Yeast
Q06218,DBP9,Yeast
P41819,DIM1,Yeast
Q12220,DIP2,Yeast
Q08162,DIS3,Yeast
P38333,ENP1,Yeast
P48234,ENP2,Yeast
Q04660,ERB1,Yeast
Q05498,FCF1,Yeast
Q03532,HAS1,Yeast
P32899,IMP3,Yeast
P53941,IMP4,Yeast
P53914,KRE33,Yeast
P25586,KRR1,Yeast
P33201,MRT4,Yeast
P38205,NCL1,Yeast
P32495,NHP2,Yeast
Q08962,NIP7,Yeast
P39744,NOC2,Yeast
Q07896,NOC3,Yeast
Q02892,NOG1,Yeast
P53742,NOG2,Yeast
P15646,NOP1,Yeast
Q12080,NOP53,Yeast
Q12460,NOP56,Yeast
Q12499,NOP58,Yeast
P53261,NOP7,Yeast
P40078,NSA2,Yeast
Q99216,PNO1,Yeast
P26793,RAD27,Yeast
Q08096,RCL1,Yeast
Q07844,RIX7,Yeast
P22138,RPA135,Yeast
P10964,RPA190,Yeast
P27999,RPB9,Yeast
Q04307,RPC11,Yeast
P07703,RPC40,Yeast
P38805,RPF1,Yeast
P36160,RPF2,Yeast
Q12754,RRP12,Yeast
P38792,RRP4,Yeast
Q08285,RRP40,Yeast
Q06506,RRP9,Yeast
P25382,RSA4,Yeast
P46948,SKI6,Yeast
P39990,SNU13,Yeast
Q12522,TIF6,Yeast
P04786,TOP1,Yeast
Q05946,UTP13,Yeast
P35194,UTP20,Yeast
Q12339,UTP23,Yeast
P40055,UTP7,Yeast
Q12024,YTM1,Yeast
Q6P8C4,nhp2,Frog
A4QND5,nip7,Frog
Q6DIT8,sbds,Frog
Q6P8E9,snu13,Frog
Q5BJ90,wdr12,Frog
